SL.No.,CITY 1,CITY 2,"PASSENGERS
 TO CITY 2","PASSENGERS
 FROM CITY 2","FREIGHT
 TO CITY 2","FREIGHT
 FROM CITY 2"
1,ABUDHABI,AHMEDABAD,13040,12598,108.214,105.678
2,ABUDHABI,BENGALURU,37007,35619,771.578,991.907
3,ABUDHABI,CHENNAI,28166,32932,97.38,187.15
4,ABUDHABI,DELHI,95207,92126,451.45,1595.054
5,ABUDHABI,HYDERABAD,34814,36344,187.133,571.449
6,ABUDHABI,KOCHI,84415,74528,207.696,1098.759
7,ABUDHABI,KOLKATA,11592,11368,7.766,115.784
8,ABUDHABI,KOZHIKODE,57138,47233,28.572,382.995
9,ABUDHABI,MANGALORE,8375,7604,0.254,20.776
10,ABUDHABI,MUMBAI,92740,90621,1473.118,3253.7319
11,ABUDHABI,TRIVANDRUM,28824,25931,4.423,277.171
12,ABUDHABI,KANNUR,23365,19651,0,0
13,ADDIS ABABA,DELHI,21923,25815,0,367.331
14,ADDIS ABABA,MUMBAI,17652,16356,236.039,1176.551
15,ADEN,MUMBAI,2499,3076,0,9.231
16,AL AIN,KOCHI,166,110,0,0
17,AL AIN,KOZHIKODE,3819,3151,0,0
18,AL AIN,TRIVANDRUM,16,0,0,0
19,ALMATY,DELHI,1507,1999,5.983,39.905
20,ALMATY,GOA,0,237,0,0
21,AMSTERDAM,BENGALURU,1541,2729,75.69,70.1706
22,AMSTERDAM,DELHI,26948,28235,1159.189,1656.4615
23,AMSTERDAM,MUMBAI,12981,14843,685.1683,815.7791
24,ASHGABAT,DELHI,5329,5548,0,164.808
25,BAHRAIN,BENGALURU,11938,10227,1393.175,193.975
26,BAHRAIN,CHENNAI,21520,19221,33.274,355.072
27,BAHRAIN,DELHI,36544,35560,54.62,531.7988
28,BAHRAIN,HYDERABAD,17182,14757,4.45,212.315
29,BAHRAIN,KOCHI,20789,17969,34.668,209.332
30,BAHRAIN,KOZHIKODE,21179,18958,23.818,285.576
31,BAHRAIN,MANGALORE,2558,2990,0,36.065
32,BAHRAIN,MUMBAI,29180,29222,44.138,592.628
33,BAHRAIN,TRIVANDRUM,16738,14062,9.45,250.194
34,BAHRAIN,KANNUR,2533,3171,0,0
35,BANGKOK,AHMEDABAD,16297,14256,9.89831,91.87626
36,BANGKOK,BENGALURU,42484,42698,849.005,1300.736
37,BANGKOK,CHENNAI,35760,37750,885.069,1325.216
38,BANGKOK,DELHI,120174,133298,3300.52469,1339.38328
39,BANGKOK,HYDERABAD,22739,24610,940.597,818.369
40,BANGKOK,JAIPUR,2528,2153,0,0
41,BANGKOK,KOLKATA,77182,76965,840.68039,1128.760498
42,BANGKOK,LUCKNOW,5116,4331,0,0
43,BANGKOK,MUMBAI,84249,85475,3670.43092,2102.00579
44,BANGKOK,VARANASI,14443,11783,0,12.016
45,BASRA,DELHI,9612,9538,0,0
46,BIRMINGHAM,AMRITSAR,3486,4330,0.57,0
47,BIRMINGHAM,DELHI,4938,4922,46.1102,258.3621
48,CAIRO,MUMBAI,7848,6909,83.905,44.553
49,CHICAGO,DELHI,20486,25462,358.3753,572.6434
50,CHICAGO,HYDERABAD,1770,1842,0.083,0
51,CHITTAGONG,KOLKATA,20025,20835,0,21.444
52,COLOGNE,MUMBAI,0,0,0,1406.29
53,COLOMBO,BENGALURU,32294,28789,272.97,691.898
54,COLOMBO,CHENNAI,108965,104221,1756.38357,1838.72335
55,COLOMBO,COIMBATORE,5077,5016,2.23,129.964
56,COLOMBO,DELHI,35907,35278,667.0199,285.1182
57,COLOMBO,HYDERABAD,9217,6765,5.216,34.683
58,COLOMBO,KOCHI,18210,22782,254.019,314.936
59,COLOMBO,KOLKATA,6203,5183,2.415,82.603
60,COLOMBO,MADURAI,17751,14979,7.745,207.979
61,COLOMBO,MUMBAI,24946,27345,155.834,439.1501
62,COLOMBO,TIRUCHIRAPALLY,24615,24244,8.754,496.594
63,COLOMBO,TRIVANDRUM,17123,13595,19.242,296.223
64,COPENHAGEN,DELHI,9865,10950,220.778,496.0348
65,DAMMAM,DELHI,13027,13192,2.678,91.2656
66,DAMMAM,KOCHI,0,2788,0,0
67,DAMMAM,KOZHIKODE,7872,6883,14.179,80.173
68,DAMMAM,MANGALORE,6809,6156,7.752,90.759
69,DAMMAM,TRIVANDRUM,2354,0,0,0
70,DHAKA,CHENNAI,2305,2163,11.056,39.05
71,DHAKA,DELHI,3004,2816,1.454,7.244
72,DHAKA,KOLKATA,93670,98942,93.95204,1830.83365
73,DOHA,AHMEDABAD,17240,20456,1067.535,1626.406
74,DOHA,AMRITSAR,13252,15223,5.383,150.151
75,DOHA,BENGALURU,28103,28978,2529.166,4600.759
76,DOHA,CHENNAI,39975,39780,4819.594,5576.365
77,DOHA,DELHI,61528,59588,2740.616,5720.601
78,DOHA,GOA,14109,15472,3.014,73.627
79,DOHA,HYDERABAD,34360,33143,1270.651,2818.884
80,DOHA,KOCHI,69649,65218,327.748,2618.801
81,DOHA,KOLKATA,17549,19437,1153.697,1552.459
82,DOHA,KOZHIKODE,39063,34520,6.937,864.775
83,DOHA,MADURAI,2346,0,0,0
84,DOHA,MANGALORE,4681,4876,0,136.131
85,DOHA,MUMBAI,53514,52494,6465.627,7935.659
86,DOHA,NAGPUR,8011,10844,1.094,63.26
87,DOHA,TRIVANDRUM,24034,23376,3.748,223.17
88,DOHA,KANNUR,23007,22230,0,0
89,DON MUEANG,AHMEDABAD,2651,2503,0,0
90,DON MUEANG,BENGALURU,12976,12625,181.533,77.965
91,DON MUEANG,BHUBANESWAR,4396,4375,0,0
92,DON MUEANG,CHENNAI,14489,13583,183.327,128.026
93,DON MUEANG,JAIPUR,9832,9740,0,0
94,DON MUEANG,KOCHI,23604,23864,0,0
95,DON MUEANG,KOLKATA,13504,12144,163.051,144.912
96,DON MUEANG,MUMBAI,11823,11055,74.918,88.71
97,DON MUEANG,VISAKHAPATNAM,6517,6078,40.655,31.238
98,DUBAI,AHMEDABAD,64893,69064,570.529,1939.17316
99,DUBAI,AMRITSAR,42446,44938,9.08,189.10907
100,DUBAI,BENGALURU,110013,109501,3696.096,7107.4284
101,DUBAI,CHANDIGARH,11488,12160,0,14.978
102,DUBAI,CHENNAI,124243,130395,3282.825,5311.2445
103,DUBAI,DELHI,230928,229187,3329.8263,10544.9519
104,DUBAI,GOA,3628,3113,0.758,0
105,DUBAI,HYDERABAD,125980,126712,622.844,4262.629
106,DUBAI,JAIPUR,20693,20371,2.35186,54.74641
107,DUBAI,KOCHI,130411,118060,910.317,4049.49566
108,DUBAI,KOLKATA,46746,46546,718.363,2555.264
109,DUBAI,KOZHIKODE,85705,76735,88.306,1149.089
110,DUBAI,LUCKNOW,22742,22004,2.169,55.46
111,DUBAI,MADURAI,16362,15169,0,5.234
112,DUBAI,MANGALORE,33950,31207,1.081,241.728
113,DUBAI,MUMBAI,253810,249146,5488.1374,11749.66444
114,DUBAI,PUNE,20365,20832,0,10.24765
115,DUBAI,TIRUCHIRAPALLY,15111,12918,1.156,168.317
116,DUBAI,TRIVANDRUM,70926,64896,76.557,2726.107
117,DUBAI,VISAKHAPATNAM,2173,1434,0.044,21.2265
118,FRANKFURT,BENGALURU,31180,28729,2137.42,2490.414
119,FRANKFURT,CHENNAI,22211,25364,3331.295,2302.325
120,FRANKFURT,DELHI,55989,63526,810.8725,1886.6424
121,FRANKFURT,HYDERABAD,0,0,346.541,1666.137
122,FRANKFURT,MUMBAI,38798,42956,6102.8126,6314.0303
123,GUANGZHOU,DELHI,43531,52088,3483.135,1059.346
124,GUANGZHOU,MUMBAI,543,458,289.579,176.827
125,HAA DHAALU ATOLL,TRIVANDRUM,597,638,0,2.791
126,HANOI,DELHI,0,0,30.684,20.32286
127,HELNSKI,DELHI,11812,13295,576.226,606.47
128,HONG KONG,BENGALURU,36292,35532,2295.919,3269.435
129,HONG KONG,CHENNAI,23078,27614,7381.708,5287.872
130,HONG KONG,DELHI,68449,85692,12098.3154,4441.06977
131,HONG KONG,HYDERABAD,11807,13357,463.149,1281.252
132,HONG KONG,KOLKATA,8409,10202,2416.26796,566.809
133,HONG KONG,MUMBAI,46719,50088,4038.908,5389.1544
134,HONG KONG,GUWAHATI,0,0,0,16.673
135,ISTANBUL,DELHI,40305,48342,2053.689,2939.677
136,ISTANBUL,MUMBAI,31295,33226,2923.932,4080.62
137,JEDDAH,BENGALURU,11609,8945,86.14,474.289
138,JEDDAH,CHENNAI,7791,6450,107.588,353.022
139,JEDDAH,DELHI,37431,35281,193.5295,1741.0914
140,JEDDAH,HYDERABAD,42472,35283,64.798,567.33336
141,JEDDAH,KOCHI,32652,23663,157.903,665.246
142,JEDDAH,KOZHIKODE,31286,29554,767.64,345.345
143,JEDDAH,LUCKNOW,12972,15466,301.841,176.489
144,JEDDAH,MUMBAI,42814,39572,159.714,1469.3949
145,KABUL,DELHI,13509,23420,58.01819,956.348
146,KANDAHAR,DELHI,0,468,0,0
147,KATHMANDU,DELHI,87223,84192,61.195,401.1295
148,KATHMANDU,KOLKATA,6759,6764,1.392,1.2027
149,KATHMANDU,VARANASI,889,907,0,0
150,KIGALI,MUMBAI,4122,5738,0,0
151,KUALALUMPUR,AHMEDABAD,1495,1247,0.194,22.947
152,KUALALUMPUR,AMRITSAR,5997,7719,0,0
153,KUALALUMPUR,BENGALURU,50200,48763,543.243,643.565
154,KUALALUMPUR,BHUBANESWAR,4393,4464,0,0
155,KUALALUMPUR,CHENNAI,67056,68022,877.534,1154.9
156,KUALALUMPUR,DELHI,71195,76358,1426.534,2073.229
157,KUALALUMPUR,HYDERABAD,28751,27796,186.737,286.339
158,KUALALUMPUR,KOCHI,56273,51471,35.361,171.727
159,KUALALUMPUR,KOLKATA,20932,20452,33.129,180.641
160,KUALALUMPUR,MUMBAI,40843,42120,952.125,1461.798
161,KUALALUMPUR,TIRUCHIRAPALLY,70425,63372,0.764,468.584
162,KUALALUMPUR,TRIVANDRUM,5315,4162,0,0
163,KUALALUMPUR,VISAKHAPATNAM,7419,7474,80.205,77.865
